input,model_response,answer
"

How long should patients be monitored after receiving IMDELLTRA on Cycle 1 Day 1 and Day 8?",22 to 24 hours,22 to 24 hours
"

Should ORLYNVAH be taken with or without food?",With food,With food
"

Is dosage adjustment of ORLYNVAH required for patients with CrCL ≥ 15 mL/min?",No dosage adjustment required,No dosage adjustment required
"

What is the recommended daily dosage of TRYVIO for adult patients?",12.5 mg once daily,12.5 mg once daily
"

Are there any absolute contraindications for LAZCLUZE?",None,None
"

What is the recommended use of ORLYNVAH for patients with severe renal impairment (CrCL < 15 mL/min)?",Not recommended,Not recommended
"

What is the recommended dosage of MIPLYFFA for patients with renal impairment (eGFR 15 to <50 mL/minute) weighing 8-15 kg?",47 mg two times a day,47 mg two times a day
"

How long should patients wait after showering before applying SOFDRA?",At least 30 minutes,At least 30 minutes
"

What white blood cell (WBC) count must be achieved before starting REVUFORJ?",Less than 25 Gi/L,Less than 25 Gi/L
"

What is the standard daily dosage of LAZCLUZE for adult patients?",240 mg once daily,240 mg once daily
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg when taking strong CYP3A4 inhibitors?",95 mg/m² orally twice daily,95 mg/m2 orally twice daily
"

For what BSA range should OJEMDA oral suspension be used instead of tablets?",0.30-0.89 m²,0.30-0.89 m²
"

What is the recommended starting dosage of COBENFY for geriatric patients?",50 mg/20 mg twice daily with slower titration,50 mg/20 mg twice daily with slower titration
"

What is the recommended duration of EXBLIFEP treatment for complicated UTI?","7 days, or up to 14 days for patients with concurrent bacteremia","7 days, or up to 14 days for patients with concurrent bacteremia"
"

What form and strength is TRYVIO available in?","12.5 mg yellow to orange round, film-coated tablets","12.5 mg yellow to orange round, film-coated tablets"
"

What are the absolute contraindications for ORLYNVAH?","History of hypersensitivity to components, known blood dyscrasias, known uric acid kidney stones","History of hypersensitivity to components, known blood dyscrasias, known uric acid kidney stones, and concomitant use with ketorolac tromethamine"
"

What is the recommended FLYRCADO dosage for both rest and stress imaging in a 2-day protocol?",93 MBq to 111 MBq (2.5 mCi to 3 mCi),93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

What is the recommended ZEVTERA dosage for adult patients with SAB during the first 8 days?",667 mg every 6 hours,667 mg every 6 hours
"

Are there any absolute contraindications for REZDIFFRA?",None,None
"

Can IQIRVO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the recommended daily dose of VORANIGO for adult patients?",40 mg orally once daily,40 mg orally once daily
"

Are there any absolute contraindications for HYMPAVZI?",None,None
"

Can LEQSELVI be taken with moderate or strong CYP2C9 inhibitors?","No, it is contraindicated","No, it is contraindicated"
"

What is the maximum approved weekly dose of HYMPAVZI?",300 mg weekly,300 mg weekly
"

What is the recommended dosage increase schedule for COBENFY after the initial dose?","Increase to 50 mg/20 mg twice daily for at least five days, then may increase to 75 mg/30 mg twice daily based on tolerability and response","Increase to 100 mg/20 mg twice daily for at least five days, then may increase to 125 mg/30 mg twice daily based on tolerability and response"
"

How should VYLOY be administered to patients?",By intravenous infusion,By intravenous infusion only
"

What is the second dose reduction level of ITOVEBI for managing adverse reactions?",3 mg,3 mg daily
"

What is the primary contraindication for LUMISIGHT?",History of hypersensitivity reaction to pegulicianine,History of hypersensitivity reaction to pegulicianine
"

What is the minimum platelet count required before initiating DUVYZAT treatment?",150 x 10^9/L,150 x 10^9/L
"

What is the recommended daily dosage of LEQSELVI for adult patients with severe alopecia areata?",8 mg twice daily,8 mg twice daily
"

Has the safety and effectiveness of REZDIFFRA been established in pediatric patients?",No,No
"

What is the dosing frequency of EBGLYSS between Week 2 and Week 16?",250 mg every 2 weeks,250 mg every 2 weeks
"

What is the first dosage reduction of VORANIGO for adult patients experiencing adverse reactions?",20 mg once daily,20 mg once daily
"

What is the maximum weekly dose of OJEMDA regardless of body surface area?",600 mg,600 mg
"

How frequently can LETYBO be administered?",No more frequently than every three months,No more frequently than every three months
"

Is LUMISIGHT approved for use in geriatric patients?","Yes, with the same dosage as adults","Yes, with no dosage adjustments required"
"

What is the minimum age requirement for XOLREMDI treatment?",12 years of age,12 years of age
"

What is the minimum age for which OJEMDA is indicated?",6 months of age,6 months of age
"

Are there any absolute contraindications for DUVYZAT?",None,None
"

What is the minimum age requirement for EXBLIFEP treatment?",18 years of age and older,18 years of age and older
"

For patients with a BSA of 1.40 m² or greater, what is the recommended weekly tablet dose of OJEMDA?",600 mg once weekly,600 mg once weekly
"

What is the maximum single dose of NIKTIMVO that can be administered?",35 mg,35 mg
"

What is the indicated age range for AQNEURSA use?",Adults and pediatric patients weighing ≥15 kg,Adults and pediatric patients weighing ≥15 kg
"

What is the recommended dose of LUMISIGHT for adult patients?",1 mg/kg actual body weight,1 mg/kg actual body weight
"

What was the age range of patients studied in clinical trials for VYLOY?",19 to 86 years,20 to 86 years
"

How long should each KISUNLA infusion be administered?",Approximately 30 minutes,Approximately 30 minutes
"

When taking bile acid sequestrants, how should IQIRVO administration be timed?",At least 3 hours before or 3 hours after the bile acid sequestrant,At least 4 hours before or 4 hours after the bile acid sequestrant
"

Has IMDELLTRA been evaluated for safety and effectiveness in pediatric patients?",No,No
"

What is the recommended DUVYZAT dosage for patients weighing 10-20 kg?",22.2 mg twice daily (2.5 mL twice daily),22.2 mg twice daily (2.5 mL twice daily)
"

What is the recommended total dose of LETYBO for treating glabellar lines?",20 Units per treatment session,20 Units per treatment session
"

What is the subcutaneous loading dose schedule for PIASKY after the initial IV dose?","340 mg on Days 2, 8, 15, and 22","340 mg on Days 2, 8, 15, and 22"
"

Does OHTUVAYRE require dosage adjustment in patients with mild to moderate renal impairment?",No dosage adjustment required,No dosage adjustment required
"

What is the minimum age of patients studied with KISUNLA in clinical trials?",59 years,59 years
"

What are the subsequent dosing options for VYLOY after the initial dose?",600 mg/m2 every 3 weeks,600 mg/m2 every 3 weeks or 400 mg/m2 every 2 weeks
"

Are there any absolute contraindications for NIKTIMVO?",None,None
"

Can LIVDELZI be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

How should the dosage of OHTUVAYRE be adjusted for patients with moderate hepatic impairment?",Use with caution due to increased exposure,Use with caution due to increased exposure
"

What is the recommended OJEMDA tablet dose for patients with BSA between 0.90-1.12 m²?",400 mg once weekly,400 mg once weekly
"

What is the minimum age for which IQIRVO is approved?",6 months of age,18 years and older (adults)
"

What is the initial loading dose of PIASKY for patients weighing over 100 kg?","1,500 mg intravenously","1,500 mg intravenously"
"

What is the maintenance dose schedule for HYMPAVZI?",150 mg every week,150 mg every week by subcutaneous injection
"

What is the indicated age group for ANKTIVA treatment?",Adult patients,Adult patients
"

When should COBENFY be taken in relation to meals?",At least one hour before a meal,At least one hour before a meal or at least two hours after a meal
"

What is the recommended DUVYZAT dosage for patients weighing 20-40 kg?",37.2 mg twice daily (4.1 mL twice daily),31 mg twice daily (3.5 mL twice daily)
"

What is the recommended FLYRCADO dosage for rest imaging in a 1-day protocol?",93 MBq to 111 MBq (2.5 mCi to 3 mCi),93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

What patient age group is LEQSELVI indicated for?",Adults only,Adults only
"

What is the first dose reduction level of ITOVEBI for managing adverse reactions?",6 mg daily,6 mg daily
"

What is the recommended FLYRCADO dosage for pharmacologic stress imaging in a 1-day protocol?",222 MBq to 241 MBq (6 mCi to 6.5 mCi),222 MBq to 241 MBq (6 mCi to 6.5 mCi)
"

What is the recommended action for LEQSELVI dosing if a patient's absolute lymphocyte count falls below 500 cells/mm3?",Interrupt treatment until ALC is ≥500 cells/mm3,Interrupt treatment until ALC is ≥500 cells/mm3
"

What is the recommended weekly dosage of OJEMDA based on body surface area?",380 mg/m² once weekly,380 mg/m² once weekly
"

What baseline tests are required before starting DUVYZAT treatment?",Platelet counts and triglycerides,Platelet counts and triglycerides
"

What is the target dose of WINREVAIR for PAH treatment?",0.7 mg/kg every 3 weeks,0.7 mg/kg every 3 weeks by subcutaneous injection
"

What is the maintenance dose of EBGLYSS after Week 16?",250 mg every 4 weeks,250 mg every 4 weeks
"

Does LIVDELZI require dose adjustment in patients with mild hepatic impairment?",No dose adjustment is recommended,No dose adjustment is recommended
"

What is the minimum age group for which RYTELO is indicated?",Adults only,Adults only
"

What is the recommended starting dosage of COBENFY for adult patients?",50 mg/12.5 mg once daily,50 mg/20 mg twice daily for at least two days
"

What is the standard recommended dosage of OHTUVAYRE for adult COPD patients?",3 mg (one ampule) twice daily administered by oral inhalation,3 mg (one ampule) twice daily administered by oral inhalation
"

What is the recommended dosing frequency of OHTUVAYRE throughout the day?",Twice daily – once in the morning and once in the evening,Twice daily - once in the morning and once in the evening
"

What concentration range should KISUNLA be diluted to before administration?",4 mg/mL to 10 mg/mL,4 mg/mL to 10 mg/mL
"

What are the absolute contraindications for LETYBO?","Known hypersensitivity to botulinum toxin preparations or components, and infection at injection sites","Known hypersensitivity to botulinum toxin preparations or components, and infection at injection sites"
"

What is the minimum body weight requirement for PIASKY treatment?",40 kg,40 kg
"

What are the contraindications for FLYRCADO?",None,None
"

What is the initial step-up dose of IMDELLTRA on Cycle 1 Day 1?",1 mg,1 mg
"

What is the absolute contraindication for YORVIPATH?",Severe hypersensitivity to palopegteriparatide or any components of YORVIPATH,Severe hypersensitivity to palopegteriparatide or any components of YORVIPATH
"

For what minimum duration should REVUFORJ be administered in patients without disease progression or unacceptable toxicity?",6 months,6 months
"

What are the absolute contraindications for initiating PIASKY treatment?",Unresolved serious Neisseria meningitidis infection and serious hypersensitivity to crovalimab or excipients,Unresolved serious Neisseria meningitidis infection and serious hypersensitivity to crovalimab or excipients
"

How should DUVYZAT be administered with respect to food?",Orally twice daily with food,Orally twice daily with food
"

Is dosage adjustment of IQIRVO required for elderly patients over 65 years?",No dosage adjustment is required,No dosage adjustment is necessary
"

Are there any absolute contraindications for RYTELO?",None,None
"

What is the adjusted dosage of REZDIFFRA for patients 100 kg or more when taking moderate CYP2C8 inhibitors?",80 mg once daily,80 mg once daily
"

What is the initial loading dose of EBGLYSS at Week 0 and Week 2?",500 mg (two 250 mg injections),500 mg (two 250 mg injections)
"

What is the minimum age requirement for DUVYZAT treatment?",6 years of age and older,6 years of age and older
"

What is the maximum recommended dosage of COBENFY for adult patients?",125 mg/30 mg twice daily,125 mg/30 mg twice daily
"

Are there any absolute contraindications for LIVDELZI?",None,None
"

What is the indicated age range for COBENFY?",Adults only,Adults only
"

What are the absolute contraindications for VAFSEO?",Known hypersensitivity to VAFSEO or its components and uncontrolled hypertension,Known hypersensitivity to VAFSEO or its components and uncontrolled hypertension
"

How long should the RYTELO infusion be administered?",Over 2 hours,Over 2 hours
"

Is dosage adjustment of IQIRVO needed for patients with mild hepatic impairment?",No dosage adjustment is recommended,No dosage adjustment is recommended
"

What age group is LIVDELZI approved for?",Adults only,Adults only
"

What is the recommended adult dosage of ZEVTERA for treating ABSSSI?",667 mg every 8 hours,667 mg every 8 hours
"

What is the second dosage reduction of VORANIGO for adult patients experiencing adverse reactions?",10 mg once daily,10 mg once daily
"

What is the indicated age group for REZDIFFRA treatment?",Adults only,Adults only
"

Can VORANIGO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the starting dose of WINREVAIR for adult PAH patients?",0.3 mg/kg by subcutaneous injection,0.3 mg/kg by subcutaneous injection every 3 weeks
"

Are there any absolute contraindications for WINREVAIR?",None,None
"

What is the indicated age group for VOYDEYA treatment?",Adults only,Adults only
"

What is the primary contraindication for OHTUVAYRE?",Hypersensitivity to ensifentrine or any component of the product,Hypersensitivity to ensifentrine or any component of the product
"

Is IQIRVO recommended for use in patients with decompensated cirrhosis?",No,No
"

What is the standard daily dosage of ITOVEBI for adult patients?",9 mg orally once daily,9 mg orally once daily
"

How long should ZELSUVMI be allowed to dry after application?",10 minutes,10 minutes
"

What is the first dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?",5.6 mg/kg,5.6 mg/kg
"

What is the indicated age range for OHTUVAYRE treatment?",Adult patients only,Adult patients only
"

What is the recommended EXBLIFEP dosage for patients with severe renal impairment (eGFR 15-29 mL/min)?",1.25 grams every 12 hours,1.25 grams every 12 hours with 2-hour infusion
"

What is the recommended ZEVTERA dosage for pediatric patients aged 12 to less than 18 years with CABP?",13.3 mg/kg (up to 667 mg/dose) every 8 hours,13.3 mg/kg (up to 667 mg/dose) every 8 hours
"

What is the minimum time gap required between taking LIVDELZI and bile acid sequestrants?",At least 4 hours,At least 4 hours before or 4 hours after
"

What is the minimum age requirement for HYMPAVZI treatment?",12 years of age,12 years of age
"

What is the minimum age for which ZEVTERA is indicated in treating CABP?",3 months,3 months
"

How long after applying ZELSUVMI should patients wait before swimming, bathing, or washing?",1 hour,1 hour
"

What should be done if a dose of NEMLUVIO is missed?",Administer the dose as soon as possible and resume dosing at the regular scheduled time,Administer the dose as soon as possible and resume dosing at the regular scheduled time
"

What are the absolute contraindications for TRYVIO?",Known serious hypersensitivity to fruquintinib or any of the excipients and concomitant use with strong CYP3A4 inducers,Pregnancy and hypersensitivity to aprocitentan or its excipients
"

What is the full treatment dose of IMDELLTRA after the step-up period?",10 mg every 2 weeks,10 mg every 2 weeks
"

What was the age range of patients studied in clinical trials of LUMISIGHT?",36 to 95 years,36 to 95 years
"

How should VOYDEYA be used in patients with severe hepatic impairment?",Avoid use,Avoid use in patients with severe hepatic impairment (Child-Pugh C)
"

After what duration should RYTELO be discontinued if a patient shows no decrease in red blood cell transfusion burden?",After 24 weeks,After 24 weeks of treatment (administration of 6 doses)
"

Is LEQSELVI contraindicated in patients who are CYP2C9 poor metabolizers?",Yes,Yes
"

What is the recommended DUVYZAT dosage for patients weighing 60 kg or more?",53.2 mg twice daily,53.2 mg twice daily (6 mL twice daily)
"

What is the maintenance dose of NEMLUVIO for adult patients weighing 90kg or more?",60 mg every 4 weeks,60 mg every 4 weeks
"

What should be completed before starting treatment with NEMLUVIO?",All age-appropriate vaccinations as recommended by current immunization guidelines,All age-appropriate vaccinations as recommended by current immunization guidelines
"

How long after reconstitution must NEMLUVIO be used?",Within 4 hours,Within 4 hours
"

How long should each NIKTIMVO infusion be administered?",30 minutes,30 minutes
"

What is the maximum daily dose of VAFSEO that can be prescribed?",600 mg,600 mg
"

What is the recommended daily dosage of IQIRVO for adult patients?",80 mg once daily,80 mg once daily
"

What is the indicated age range for ZELSUVMI?",1 year of age and older,1 year of age and older
"

For patients on hemodialysis, when should EXBLIFEP be administered?",After completion of hemodialysis session,After completion of hemodialysis session on hemodialysis days
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing less than 40 kg?",20 mg orally once daily,20 mg orally once daily
"

What is the initial dose of NEMLUVIO for adult patients weighing less than 90kg?","54 mg (two 27 mg injections), followed by 27 mg every 4 weeks","60 mg (two 30 mg injections), followed by 30 mg every 4 weeks"
"

Are dose reductions recommended for TEVIMBRA?",No,No
"

What is the recommended EXBLIFEP dosage for patients with eGFR less than 15 mL/min?","Loading dose of 1.25 grams on first day, followed by 0.625 grams every 24 hours","Loading dose of 1.25 grams on first day, followed by 0.625 grams every 24 hours"
"

How long before imaging should LUMISIGHT be administered?",2 to 6 hours,2 to 6 hours
"

How frequently should ZELSUVMI be applied?",Once daily,Once daily
"

What is the maximum treatment duration for ZELSUVMI?",Up to 12 weeks,Up to 12 weeks
"

What is the indicated age range for TRYVIO treatment?",Adults only,Adults only
"

What is the dosage of ANKTIVA for additional maintenance treatment after month 25?","400 mcg administered once a week for 3 weeks at months 25, 31, and 37","400 mcg administered once a week for 3 weeks at months 25, 31, and 37"
"

What is the recommended dose of IMDELLTRA on Cycle 1 Day 8?",10 mg,10 mg
"

How should NEMLUVIO be administered?",By subcutaneous injection,By subcutaneous injection
"

What is the recommended duration of ZEVTERA treatment for adult patients with ABSSSI?",5 to 14 days,5 to 14 days
"

What is the recommended dosage of NIKTIMVO for patients weighing at least 40 kg?",0.3 mg/kg (maximum 35 mg) every 2 weeks,0.3 mg/kg (maximum 35 mg) every 2 weeks
"

What are the contraindications for TEVIMBRA?",None,None
"

What is the starting oral dose of VOYDEYA?",150 mg three times a day,150 mg three times a day
"

What is the standard dosage of EXBLIFEP for patients with normal renal function (eGFR 60-129 mL/min)?",2.5 grams (2 grams cefepime and 0.5 grams enmetazobactam) every 8 hours by intravenous infusion over 2 hours,2.5 grams (2 grams cefepime and 0.5 grams enmetazobactam) every 8 hours by intravenous infusion over 2 hours
"

What is the maximum total volume of FLYRCADO that can be administered in one day?",6.1 mL,6.1 mL
"

Has a recommended dosage of OJEMDA been established for patients with BSA less than 0.3 m²?",No,No
"

What is the adjusted dosage of REZDIFFRA for patients under 100 kg when taking moderate CYP2C8 inhibitors?",60 mg once daily,60 mg once daily
"

Has ZELSUVMI been proven safe and effective in children under 1 year of age?",No,No
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing 40 kg or more?",40 mg orally once daily,40 mg orally once daily
"

What is the recommended dose of TEVIMBRA for adult patients?",200 mg every 3 weeks,200 mg every 3 weeks
"

What is the indicated age range for FLYRCADO use?",Adult patients only,Adult patients only
"

Can VOYDEYA be taken with or without food?","Yes, it can be taken with or without food",Can be taken with or without food
"

Does LIVDELZI require dose adjustment in patients with renal impairment?",No dose adjustment is recommended,"No, the recommended dosage is the same"
"

What are the contraindications for ZELSUVMI?",None,None
"

Are there any contraindications for VORANIGO?",None,None
"

How long should the LUMISIGHT injection be administered over?",3 minutes,3 minutes
"

What is the indicated age range for VORANIGO treatment?",Adult and pediatric patients 12 years and older,Adult and pediatric patients 12 years and older
"

How frequently can the VAFSEO dose be increased?",No more frequently than once every 4 weeks,No more frequently than once every 4 weeks
"

What is the recommended dosage of RYTELO for adult patients with MDS?",7.1 mg/kg administered as an intravenous infusion over 2 hours every 4 weeks,7.1 mg/kg administered as an intravenous infusion over 2 hours every 4 weeks
"

What is the minimum age for which LUMISIGHT has been established as safe and effective?",Adult patients only,Adult patients only (18 years and older)
"

When should VYLOY be administered if given on the same day as chemotherapy?",VYLOY must be administered first,VYLOY must be administered first
"

Are there any contraindications for ANKTIVA?",None,None
"

When can the VOYDEYA dose be increased to 200 mg three times a day?","If hemoglobin has not increased by >2 g/dL after 4 weeks, if patient required transfusion within 4 weeks, or to maintain target hemoglobin based on individual response","If hemoglobin has not increased by >2 g/dL after 4 weeks, if patient required transfusion during previous 4 weeks, or to achieve appropriate Hgb response based on clinical judgment"
"

What should be done if a dose of VOYDEYA is missed?","Take it as soon as remembered unless within 3 hours of next dose; if within 3 hours of next dose, skip missed dose and take at next regularly scheduled time","Take it as soon as remembered unless within 3 hours of next dose; if within 3 hours of next dose, skip missed dose and take at next regularly scheduled time"
"

What is the primary contraindication for ZEVTERA?",Known history of severe hypersensitivity to ZEVTERA or other members of the cephalosporin class,Known history of severe hypersensitivity to ZEVTERA or other members of the cephalosporin class
"

What is the contraindication for initiating VOYDEYA treatment?",Unresolved serious infection caused by encapsulated bacteria,Unresolved serious infection caused by encapsulated bacteria
"

What is the recommended amount of ZELSUVMI to dispense from each tube for application?",0.5 mL from each tube,0.5 mL from each tube
"

What is the indicated age range for IMDELLTRA treatment?",Adults only,Adults only
"

What is the primary contraindication for NEMLUVIO?",Known hypersensitivity to nemolizumab-ilto or to any of the excipients in NEMLUVIO,Known hypersensitivity to nemolizumab-ilto or to any of the excipients in NEMLUVIO
"

What is the recommended DUVYZAT dosage for patients weighing 40-60 kg?",44.3 mg twice daily (5 mL twice daily),44.3 mg twice daily (5 mL twice daily)
"

What is the recommended FLYRCADO dosage for exercise stress imaging in a 1-day protocol?",333 MBq to 352 MBq (9 mCi to 9.5 mCi),333 MBq to 352 MBq (9 mCi to 9.5 mCi)
