input,model_response,answer
"

What is the indicated age group for VOYDEYA treatment?",Adults only,Adults only
"

What patient age group is LEQSELVI indicated for?",Adults only,Adults only
"

What is the reduced dosage of NIKTIMVO for patients who experience Grade 3 AST or ALT elevation with total bilirubin ≤ Grade 1?",0.2 mg/kg (maximum 23 mg) every 2 weeks,0.2 mg/kg (maximum 23 mg) every 2 weeks
"

What is the full treatment dose of IMDELLTRA after the step-up period?",10 mg every 2 weeks,10 mg every 2 weeks
"

Are there any absolute contraindications for HYMPAVZI?",None,None
"

What is the maximum approved weekly dose of HYMPAVZI?",300 mg weekly,300 mg weekly
"

Is LUMISIGHT approved for use in geriatric patients?","Yes, with no dosage adjustments required","Yes, with no dosage adjustments required"
"

What is the recommended dosing frequency of OHTUVAYRE throughout the day?",Twice daily - once in the morning and once in the evening,Twice daily - once in the morning and once in the evening
"

How long before imaging should LUMISIGHT be administered?",2 to 6 hours,2 to 6 hours
"

What is the recommended FLYRCADO dosage for both rest and stress imaging in a 2-day protocol?",93 MBq to 111 MBq (2.5 mCi to 3 mCi),93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

What is the minimum age for which LUMISIGHT has been established as safe and effective?",Adult patients only (18 years and older),Adult patients only (18 years and older)
"

What is the indicated age range for ZELSUVMI?",1 year of age and older,1 year of age and older
"

What was the age range of patients studied in clinical trials of LUMISIGHT?",36 to 95 years,36 to 95 years
"

What is the recommended FLYRCADO dosage for pharmacologic stress imaging in a 1-day protocol?",222 MBq to 241 MBq (6 mCi to 6.5 mCi),222 MBq to 241 MBq (6 mCi to 6.5 mCi)
"

What is the initial dosage of KISUNLA for the first three doses?",700 mg every four weeks,700 mg every four weeks
"

For patients weighing ≥50 kg with inadequate bleeding control, what adjusted maintenance dose of HYMPAVZI can be considered?",300 mg subcutaneous injection weekly,300 mg subcutaneous injection weekly
"

What is the maximum recommended dosage of COBENFY for geriatric patients?",100 mg/20 mg twice daily,100 mg/20 mg twice daily
"

What is the indicated age range for FLYRCADO use?",Adult patients only,Adult patients only
"

What is the maintenance dose schedule for HYMPAVZI?",150 mg every week by subcutaneous injection,150 mg every week by subcutaneous injection
"

How should VYLOY be administered to patients?",By intravenous infusion only,By intravenous infusion only
"

How long should ZELSUVMI be allowed to dry after application?",10 minutes,10 minutes
"

What is the recommended action for LEQSELVI dosing if a patient's absolute lymphocyte count falls below 500 cells/mm3?",Interrupt treatment until ALC is ≥500 cells/mm3,Interrupt treatment until ALC is ≥500 cells/mm3
"

What are the contraindications for FLYRCADO?",None,None
"

What is the recommended dose of IMDELLTRA on Cycle 1 Day 8?",10 mg,10 mg
"

How frequently should NIKTIMVO be administered?",Every 2 weeks,Every 2 weeks
"

What are the absolute contraindications for COBENFY?","Urinary retention, moderate/severe hepatic impairment, gastric retention, hypersensitivity to COBENFY or trospium chloride, and untreated narrow-angle glaucoma","Urinary retention, moderate/severe hepatic impairment, gastric retention, hypersensitivity to COBENFY or trospium chloride, and untreated narrow-angle glaucoma"
"

How often can the YORVIPATH dose be increased?",No more often than every 7 days,No more often than every 7 days
"

What is the maximum single dose of NIKTIMVO that can be administered?",35 mg,35 mg
"

What is the recommended dosage increase schedule for COBENFY after the initial dose?","Increase to 100 mg/20 mg twice daily for at least five days, then may increase to 125 mg/30 mg twice daily based on tolerability and response","Increase to 100 mg/20 mg twice daily for at least five days, then may increase to 125 mg/30 mg twice daily based on tolerability and response"
"

In what patient populations has HYMPAVZI been approved for use?",Patients with hemophilia A without factor VIII inhibitors or hemophilia B without factor IX inhibitors,Patients with hemophilia A without factor VIII inhibitors or hemophilia B without factor IX inhibitors
"

When should VYLOY be administered if given on the same day as chemotherapy?",VYLOY must be administered first,VYLOY must be administered first
"

What is the recommended FLYRCADO dosage for exercise stress imaging in a 1-day protocol?",333 MBq to 352 MBq (9 mCi to 9.5 mCi),333 MBq to 352 MBq (9 mCi to 9.5 mCi)
"

What is the recommended dose of LUMISIGHT for adult patients?",1 mg/kg actual body weight,1 mg/kg actual body weight
"

How long should patients be monitored after receiving IMDELLTRA on Cycle 1 Day 1 and Day 8?",22 to 24 hours,22 to 24 hours
"

What is the minimum dose increment when adjusting YORVIPATH?",3 mcg,3 mcg
"

What is the recommended dosage of NIKTIMVO for patients weighing at least 40 kg?",0.3 mg/kg (maximum 35 mg) every 2 weeks,0.3 mg/kg (maximum 35 mg) every 2 weeks
"

What is the maximum recommended dosage of COBENFY for adult patients?",125 mg/30 mg twice daily,125 mg/30 mg twice daily
"

What is the minimum age requirement for HYMPAVZI treatment?",12 years of age,12 years of age
"

Can VORANIGO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the maximum recommended daily dose of YORVIPATH?",30 mcg once daily,30 mcg once daily
"

What is the maximum total volume of FLYRCADO that can be administered in one day?",<error>,6.1 mL
"

What is the adjusted dosage of REZDIFFRA for patients under 100 kg when taking moderate CYP2C8 inhibitors?",<error>,60 mg once daily
"

Has IMDELLTRA been evaluated for safety and effectiveness in pediatric patients?",<error>,No
"

How long should each NIKTIMVO infusion be administered?",<error>,30 minutes
"

What are the contraindications for ZELSUVMI?",<error>,None
"

Are there any absolute contraindications for NIKTIMVO?",<error>,None
"

What is the recommended dosage range for YORVIPATH?",<error>,6 to 30 mcg once daily
"

How should VOYDEYA be used in patients with severe hepatic impairment?",Avoid use in patients with severe hepatic impairment (Child-Pugh C),Avoid use in patients with severe hepatic impairment (Child-Pugh C)
"

Can LEQSELVI be prescribed to pediatric patients?",<error>,"No, safety and effectiveness have not been established"
"

For what minimum duration should REVUFORJ be administered in patients without disease progression or unacceptable toxicity?",6 months,6 months
"

What is the minimum weight requirement for patients to receive NIKTIMVO?",<error>,40 kg
"

What is the absolute contraindication for YORVIPATH?",<error>,Severe hypersensitivity to palopegteriparatide or any components of YORVIPATH
"

What is the indicated age range for VORANIGO treatment?",Adult and pediatric patients 12 years and older,Adult and pediatric patients 12 years and older
"

What is the standard dosage of EXBLIFEP for patients with normal renal function (eGFR 60-129 mL/min)?",2.5 grams (2 grams cefepime and 0.5 grams enmetazobactam) every 8 hours by intravenous infusion over 2 hours,2.5 grams (2 grams cefepime and 0.5 grams enmetazobactam) every 8 hours by intravenous infusion over 2 hours
"

What is the dosing frequency of EBGLYSS between Week 2 and Week 16?",250 mg every 2 weeks,250 mg every 2 weeks
"

Can LEQSELVI be taken with moderate or strong CYP2C9 inhibitors?",<error>,"No, it is contraindicated"
"

What is the recommended infusion duration for each dose of IMDELLTRA?",<error>,1 hour
"

What is the indicated age group for NEMLUVIO?",<error>,Adults (18 years and older)
"

What is the starting oral dose of VOYDEYA?",<error>,150 mg three times a day
"

What is the minimum age for which OJEMDA is indicated?",<error>,6 months of age
"

How long should the LUMISIGHT injection be administered over?",<error>,3 minutes
"

What should be done if a dose of VOYDEYA is missed?",<error>,"Take it as soon as remembered unless within 3 hours of next dose; if within 3 hours of next dose, skip missed dose and take at next regularly scheduled time"
"

What is the recommended FLYRCADO dosage for rest imaging in a 1-day protocol?",<error>,93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

Are there any absolute contraindications for OJEMDA?",<error>,"No, there are no absolute contraindications"
"

What is the recommended starting dosage of COBENFY for geriatric patients?",<error>,50 mg/20 mg twice daily with slower titration
"

What is the second dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?",<error>,4.4 mg/kg
"

What is the approved age range for WINREVAIR treatment?",<error>,Adults (18 years and older)
"

What is the indicated age range for SOFDRA treatment?",<error>,9 years of age and older
"

How frequently should ZELSUVMI be applied?",<error>,Once daily
"

What should be done if a dose of ORLYNVAH is missed?",<error>,"Take the dose as soon as possible, but do not double the dose"
"

How long must patients be on dialysis before starting VAFSEO?",At least three months,At least three months
"

What is the first dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?",5.6 mg/kg,5.6 mg/kg
"

Can EBGLYSS be used with topical corticosteroids?",Yes,Yes
"

What should be completed before starting treatment with NEMLUVIO?",All age-appropriate vaccinations as recommended by current immunization guidelines,All age-appropriate vaccinations as recommended by current immunization guidelines
"

How should the dose of ITOVEBI be modified if a patient misses a dose within 9 hours of their usual time?",Take the missed dose as soon as possible within 9 hours,Take the missed dose as soon as possible within 9 hours
"

How should DUVYZAT be administered with respect to food?",Orally twice daily with food,Orally twice daily with food
"

What platelet count is required to initiate WINREVAIR treatment?","Must be ≥50,000/mm3 (≥50 x 109/L)","Must be ≥50,000/mm3 (≥50 x 109/L)"
"

What is the subcutaneous loading dose schedule for PIASKY after the initial IV dose?","340 mg on Days 2, 8, 15, and 22","340 mg on Days 2, 8, 15, and 22"
"

What is the maximum treatment duration for ANKTIVA?",37 months,37 months
"

Should patients continue taking TRYVIO if they miss a dose?",Skip the missed dose and take the next dose at the regular time. Do not take two doses on the same day.,Skip the missed dose and take the next dose at the regular time. Do not take two doses on the same day.
"

What are the absolute contraindications for LETYBO?","Known hypersensitivity to botulinum toxin preparations or components, and infection at injection sites","Known hypersensitivity to botulinum toxin preparations or components, and infection at injection sites"
"

What is the recommended infusion duration for ZEVTERA in adult patients?",2 hours,2 hours
"

In what increments should the VAFSEO dose be adjusted to achieve target hemoglobin levels?",150 mg increments,150 mg increments
"

What is the indicated age group for ORLYNVAH treatment?",Adult women only,Adult women only
"

What are the contraindications for REVUFORJ?",None,None
"

What is the primary contraindication for NEMLUVIO?",Known hypersensitivity to nemolizumab-ilto or to any of the excipients in NEMLUVIO,Known hypersensitivity to nemolizumab-ilto or to any of the excipients in NEMLUVIO
"

What are the contraindications for VYLOY?",None,None
"

For how long should patients continue taking LAZCLUZE?",Until disease progression or unacceptable toxicity,Until disease progression or unacceptable toxicity
"

What should be completed before starting EBGLYSS treatment?",All age-appropriate vaccinations,All age-appropriate vaccinations
"

What is the total daily dose of AQNEURSA for patients weighing between 25 kg to less than 35 kg?",3 grams,3 grams
"

What is the minimum age for patients to receive TEVIMBRA?",18 years (adult patients),18 years (adult patients)
"

What is the minimum age requirement for DUVYZAT treatment?",6 years of age and older,6 years of age and older
"

How much SOFDRA gel is delivered in each pump actuation?",0.67 mL of gel containing 72 mg sofpironium,0.67 mL of gel containing 72 mg sofpironium
"

How long should patients wait after applying SOFDRA before showering?",At least 8 hours,At least 8 hours
"

What is the recommended dosage of MIPLYFFA for patients with renal impairment (eGFR 15 to <50 mL/minute) weighing 8-15 kg?",47 mg two times a day,47 mg two times a day
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing 40 kg or more?",40 mg orally once daily,40 mg orally once daily
"

What is the starting dose of WINREVAIR for adult PAH patients?",0.3 mg/kg by subcutaneous injection every 3 weeks,0.3 mg/kg by subcutaneous injection every 3 weeks
"

How frequently can the VAFSEO dose be increased?",No more frequently than once every 4 weeks,No more frequently than once every 4 weeks
"

What is the standard recommended dosage of ORLYNVAH for treating uncomplicated UTIs?",One tablet (500 mg sulopenem etzadroxil and 500 mg probenecid) orally twice daily for 5 days,One tablet (500 mg sulopenem etzadroxil and 500 mg probenecid) orally twice daily for 5 days
"

Is KISUNLA approved for use in pediatric patients?",No,No
"

What are the contraindications for TEVIMBRA?",None,None
"

How frequently can LETYBO be administered?",No more frequently than every three months,No more frequently than every three months
"

What is the minimum age for which LAZCLUZE is indicated?",18 years (adults only),18 years (adults only)
"

What is the minimum age requirement for EBGLYSS treatment?",12 years of age,12 years of age
"

What is the first dose reduction level of LAZCLUZE when adjusting for adverse reactions?",160 mg once daily,160 mg once daily
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 8-15 kg?",47 mg three times a day,47 mg three times a day
"

What should be done with ITOVEBI dosing if a patient vomits after taking their dose?",Do not take an additional dose that day and resume usual dosing schedule the next day,Do not take an additional dose that day and resume usual dosing schedule the next day
"

What is the recommended DUVYZAT dosage for patients weighing 60 kg or more?",53.2 mg twice daily (6 mL twice daily),53.2 mg twice daily (6 mL twice daily)
"

What is the maintenance dosage of KISUNLA after the first three doses?",1400 mg every four weeks,1400 mg every four weeks
"

What is the recommended ZEVTERA dosage for pediatric patients aged 12 to less than 18 years with CABP?",13.3 mg/kg (up to 667 mg/dose) every 8 hours,13.3 mg/kg (up to 667 mg/dose) every 8 hours
"

What are the absolute contraindications for ORLYNVAH?","History of hypersensitivity to components, known blood dyscrasias, known uric acid kidney stones, and concomitant use with ketorolac tromethamine","History of hypersensitivity to components, known blood dyscrasias, known uric acid kidney stones, and concomitant use with ketorolac tromethamine"
"

What is the minimum patient weight required for AQNEURSA treatment?",15 kg,15 kg
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg when taking strong CYP3A4 inhibitors?",95 mg/m2 orally twice daily,95 mg/m2 orally twice daily
"

Are there any contraindications for IMDELLTRA?","No, there are no contraindications","No, there are no contraindications"
"

What is the minimum age for which MIPLYFFA is indicated?",2 years of age,2 years of age
"

What is the recommended starting dose of VAFSEO for adults with CKD on dialysis?",300 mg orally once daily,300 mg orally once daily
"

What is the recommended dosage of RYTELO for adult patients with MDS?",7.1 mg/kg administered as an intravenous infusion over 2 hours every 4 weeks,7.1 mg/kg administered as an intravenous infusion over 2 hours every 4 weeks
"

What is the maintenance dose of NEMLUVIO for adult patients weighing 90kg or more?",60 mg every 4 weeks,60 mg every 4 weeks
"

What is the indicated age range for VAFSEO treatment?",Adults only,Adults only
"

Is dosage adjustment of IQIRVO required for elderly patients over 65 years?",No dosage adjustment is necessary,No dosage adjustment is necessary
"

What white blood cell (WBC) count must be achieved before starting REVUFORJ?",Less than 25 Gi/L,Less than 25 Gi/L
"

What is the initial step-up dose of IMDELLTRA on Cycle 1 Day 1?",1 mg,1 mg
"

What is the minimum age of patients studied with KISUNLA in clinical trials?",59 years (range 59 to 85),59 years
"

What are the subsequent dosing options for VYLOY after the initial dose?",600 mg/m2 every 3 weeks or 400 mg/m2 every 2 weeks,600 mg/m2 every 3 weeks or 400 mg/m2 every 2 weeks
"

Does LIVDELZI require dose adjustment in patients with renal impairment?","No, the recommended dosage is the same","No, the recommended dosage is the same"
"

What is the standard daily dosage of LIVDELZI for adult PBC patients?",10 mg once daily,10 mg once daily
"

What is the approved age group for VYLOY treatment?",Adults only,Adults only
"

Can REZDIFFRA be taken with or without food?",Can be taken with or without food,Can be taken with or without food
"

What is the indicated age range for OHTUVAYRE treatment?",Adult patients only,Adult patients only
"

What are the available tablet strengths for VAFSEO?","150 mg, 300 mg, and 450 mg","150 mg, 300 mg, and 450 mg"
"

What is the minimum age for which REVUFORJ is indicated?",1 year and older,1 year and older
"

What is the recommended oral dosage of MIPLYFFA for patients weighing 30-55 kg?",93 mg three times a day,93 mg three times a day
"

What is the minimum platelet count required before initiating DUVYZAT treatment?",150 x 10^9/L,150 x 10^9/L
"

Are there any absolute contraindications for LAZCLUZE?",None,None
"

What is the second dose reduction level of ITOVEBI for managing adverse reactions?",3 mg daily,3 mg daily
"

What is the first dosage reduction of VORANIGO for adult patients experiencing adverse reactions?",20 mg once daily,20 mg once daily
"

What is the maximum daily dose of VAFSEO that can be prescribed?",600 mg,600 mg
"

What is the minimum weight requirement for EBGLYSS treatment?",40 kg,40 kg
"

What should be done if a dose of NEMLUVIO is missed?",Administer the dose as soon as possible and resume dosing at the regular scheduled time,Administer the dose as soon as possible and resume dosing at the regular scheduled time
"

How many doses per day of AQNEURSA should patients weighing 15 to less than 25 kg receive?",2 doses,2 doses
"

Are dose reductions recommended for TEVIMBRA?",No,No
"

Can LIVDELZI be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the maintenance dosage schedule for ANKTIVA?","400 mcg administered intravesically with BCG once a week for 3 weeks at months 4, 7, 10, 13 and 19","400 mcg administered intravesically with BCG once a week for 3 weeks at months 4, 7, 10, 13 and 19"
"

What is the indicated age range for AQNEURSA use?",Adults and pediatric patients weighing ≥15 kg,Adults and pediatric patients weighing ≥15 kg
"

What is the second dose reduction level of LAZCLUZE when adjusting for adverse reactions?",80 mg once daily,80 mg once daily
"

How many injection sites are recommended for LETYBO treatment of glabellar lines?",5 sites,5 sites
"

What is the initial loading dose of PIASKY for patients weighing between 40 kg and 100 kg?","1,000 mg intravenously","1,000 mg intravenously"
"

What is the recommended duration of ZEVTERA treatment for pediatric patients with CABP?",7 to 14 days,7 to 14 days
"

How should XOLREMDI be taken with respect to meals?","On an empty stomach after overnight fast, at least 30 minutes before food","On an empty stomach after overnight fast, at least 30 minutes before food"
"

What are the contraindications for AQNEURSA?",None,None
"

What is the recommended duration of EXBLIFEP treatment for complicated UTI?","7 days, or up to 14 days for patients with concurrent bacteremia","7 days, or up to 14 days for patients with concurrent bacteremia"
"

What age group is LIVDELZI approved for?",Adults only,Adults only
"

What is the recommended daily dose of XOLREMDI for patients weighing more than 50 kg?",400 mg orally once daily,400 mg orally once daily
"

What is the initial dose of VYLOY for adult patients?",800 mg/m2,800 mg/m2
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more without strong CYP3A4 inhibitors?",270 mg orally twice daily,270 mg orally twice daily
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg without strong CYP3A4 inhibitors?",160 mg/m2 orally twice daily,160 mg/m2 orally twice daily
"

Is dosage adjustment of ORLYNVAH required for patients with CrCL ≥ 15 mL/min?",No dosage adjustment required,No dosage adjustment required
"

What should be done if a patient misses a dose of LAZCLUZE within 12 hours of the scheduled time?",Take the missed dose,Take the missed dose
"

How should LAZCLUZE tablets be taken with respect to food?",With or without food,With or without food
"

For what BSA range should OJEMDA oral suspension be used instead of tablets?",0.30-0.89 m²,0.30-0.89 m²
"

What is the maintenance dose of PIASKY for patients weighing 100 kg or more?","1,020 mg subcutaneously every 4 weeks","1,020 mg subcutaneously every 4 weeks"
"

What percentage of KISUNLA clinical trial patients were 65 years and older?",90%,90%
"

After what duration should RYTELO be discontinued if a patient shows no decrease in red blood cell transfusion burden?",After 24 weeks of treatment (administration of 6 doses),After 24 weeks of treatment (administration of 6 doses)
"

What is the minimum age requirement for EXBLIFEP treatment?",18 years of age and older,18 years of age and older
"

What is the recommended storage temperature for reconstituted LETYBO?",Between 2°C to 8°C (36°F to 46°F),Between 2°C to 8°C (36°F to 46°F)
"

What are the absolute contraindications for VAFSEO?",Known hypersensitivity to VAFSEO or its components and uncontrolled hypertension,Known hypersensitivity to VAFSEO or its components and uncontrolled hypertension
"

Are there any contraindications for ANKTIVA?",None,None
"

What is the capsule strength available for XOLREMDI?",100 mg capsules,100 mg capsules
"

When taking bile acid sequestrants, how should IQIRVO administration be timed?",At least 4 hours before or 4 hours after the bile acid sequestrant,At least 4 hours before or 4 hours after the bile acid sequestrant
"

Is IQIRVO recommended for use in patients with decompensated cirrhosis?",No,No
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more when taking strong CYP3A4 inhibitors?",160 mg orally twice daily,160 mg orally twice daily
"

Are there any absolute contraindications for LIVDELZI?",None,None
"

Can MIPLYFFA be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the maintenance dose of PIASKY for patients weighing between 40 kg and 100 kg?",680 mg subcutaneously every 4 weeks,680 mg subcutaneously every 4 weeks
"

What is the minimum age group for which ITOVEBI is indicated?",Adults only,Adults only
"

What is the primary contraindication for OHTUVAYRE?",Hypersensitivity to ensifentrine or any component of the product,Hypersensitivity to ensifentrine or any component of the product
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing less than 40 kg?",20 mg orally once daily,20 mg orally once daily
"

How frequently should RYTELO be administered in the treatment cycle?",Every 4 weeks,Every 4 weeks
"

Is TRYVIO recommended for patients with moderate to severe hepatic impairment?","No, it is not recommended","No, it is not recommended"
"

What is the recommended daily dosage of TRYVIO for adult patients?",12.5 mg once daily,12.5 mg once daily
"

What is the recommended daily dose of VORANIGO for adult patients?",40 mg orally once daily,40 mg orally once daily
"

What is the recommended OJEMDA tablet dose for patients with BSA between 0.90-1.12 m²?",400 mg once weekly,400 mg once weekly
"

How should NEMLUVIO be administered?",By subcutaneous injection,By subcutaneous injection
"

What is the morning dose of AQNEURSA for patients weighing 35 kg or more?",2 grams,2 grams
"

Should ORLYNVAH be taken with or without food?",With food,With food
"

Can TRYVIO be taken with or without food?","Yes, it can be taken with or without food","Yes, it can be taken with or without food"
"

What is the recommended duration of ZEVTERA treatment for adult patients with ABSSSI?",5 to 14 days,5 to 14 days
"

What is the minimum age group for which RYTELO is indicated?",Adults only,Adults only
"

What is the minimum time gap required between taking LIVDELZI and bile acid sequestrants?",At least 4 hours before or 4 hours after,At least 4 hours before or 4 hours after
"

What is the minimum age requirement for XOLREMDI treatment?",12 years of age,12 years of age
"

What is the initial loading dose of PIASKY for patients weighing over 100 kg?","1,500 mg intravenously","1,500 mg intravenously"
"

How long should each KISUNLA infusion be administered?",Approximately 30 minutes,Approximately 30 minutes
"

What is the recommended oral dosage of MIPLYFFA for patients weighing more than 55 kg?",124 mg three times a day,124 mg three times a day
"

What is the standard recommended dosage of OHTUVAYRE for adult COPD patients?",3 mg (one ampule) twice daily administered by oral inhalation,3 mg (one ampule) twice daily administered by oral inhalation
"

What is the recommended DUVYZAT dosage for patients weighing 40-60 kg?",44.3 mg twice daily (5 mL twice daily),44.3 mg twice daily (5 mL twice daily)
"

What is the primary contraindication for EBGLYSS?",Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients,Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients
"

What is the primary contraindication for ZEVTERA?",Known history of severe hypersensitivity to ZEVTERA or other members of the cephalosporin class,Known history of severe hypersensitivity to ZEVTERA or other members of the cephalosporin class
"

What are the absolute contraindications for initiating PIASKY treatment?",Unresolved serious Neisseria meningitidis infection and serious hypersensitivity to crovalimab or excipients,Unresolved serious Neisseria meningitidis infection and serious hypersensitivity to crovalimab or excipients
"

What are the absolute contraindications for TRYVIO?",Pregnancy and hypersensitivity to aprocitentan or its excipients,Pregnancy and hypersensitivity to aprocitentan or its excipients
"

What is the minimum age for which IQIRVO is approved?",18 years and older (adults),18 years and older (adults)
"

How long should ANKTIVA be retained in the bladder during treatment?",2 hours,2 hours
"

Are there any contraindications for VORANIGO?",None,None
"

Are there any absolute contraindications for ITOVEBI?",None,None
"

What is the minimum age requirement for PIASKY treatment?",13 years and older,13 years and older
"

What is the recommended daily dose of XOLREMDI for patients weighing 50 kg or less?",300 mg orally once daily,300 mg orally once daily
"

How long should the first infusion of TEVIMBRA be administered?",60 minutes,60 minutes
"

What is the initial loading dose of EBGLYSS at Week 0 and Week 2?",500 mg (two 250 mg injections),500 mg (two 250 mg injections)
"

What is the recommended ZEVTERA dosage for adult patients with SAB during the first 8 days?",667 mg every 6 hours,667 mg every 6 hours
"

For patients on hemodialysis, when should EXBLIFEP be administered?",After completion of hemodialysis session on hemodialysis days,After completion of hemodialysis session on hemodialysis days
"

What form and strength is TRYVIO available in?","12.5 mg yellow to orange round, film-coated tablets","12.5 mg yellow to orange round, film-coated tablets"
"

What is the concentration of OHTUVAYRE in each unit-dose ampule?",3 mg/2.5 mL (1.2 mg/mL),3 mg/2.5 mL (1.2 mg/mL)
"

What medical conditions are contraindications for SOFDRA use?","Glaucoma, paralytic ileus, unstable cardiovascular status in acute hemorrhage, severe ulcerative colitis, toxic megacolon, myasthenia gravis, and Sjögren's syndrome","Glaucoma, paralytic ileus, unstable cardiovascular status in acute hemorrhage, severe ulcerative colitis, toxic megacolon, myasthenia gravis, and Sjögren's syndrome"
"

Has a recommended dosage of OJEMDA been established for patients with BSA less than 0.3 m²?",No,No
"

Has the safety and effectiveness of SOFDRA been established in children under 9 years of age?",No,No
"

Are there any absolute contraindications for DUVYZAT?",None,None
"

Is TRYVIO recommended for patients with kidney failure or on dialysis?","No, it is not recommended","No, it is not recommended"
"

What concentration range should KISUNLA be diluted to before administration?",4 mg/mL to 10 mg/mL,4 mg/mL to 10 mg/mL
"

What is the recommended DUVYZAT dosage for patients weighing 20-40 kg?",31 mg twice daily (3.5 mL twice daily),31 mg twice daily (3.5 mL twice daily)
"

What is the size of each unit-dose packet of AQNEURSA?",1 gram,1 gram
"

How long should patients wait after showering before applying SOFDRA?",At least 30 minutes,At least 30 minutes
"

For patients requiring a 2-gram dose of AQNEURSA, how many packets should be prepared?",Two packets,Two packets
"

What is the recommended starting dose of ITOVEBI for patients with moderate renal impairment?",6 mg orally once daily,6 mg orally once daily
"

What is the indicated age group for ANKTIVA treatment?",Adult patients,Adult patients
"

Is XOLREMDI recommended for patients with severe renal impairment?","No, it is not recommended","No, it is not recommended"
"

What is the recommended daily dosage of IQIRVO for adult patients?",80 mg once daily,80 mg once daily
"

What is the maintenance dose of EBGLYSS after Week 16?",250 mg every 4 weeks,250 mg every 4 weeks
"

How should the dosage of OHTUVAYRE be adjusted for patients with moderate hepatic impairment?",Use with caution due to increased exposure,Use with caution due to increased exposure
"

What is the primary contraindication for EXBLIFEP?",History of serious hypersensitivity reactions to the components of EXBLIFEP or other beta-lactam antibacterial drugs,History of serious hypersensitivity reactions to the components of EXBLIFEP or other beta-lactam antibacterial drugs
