input,model_response,answer
"

How much SOFDRA gel is delivered in each pump actuation?","100 mg

",0.67 mL of gel containing 72 mg sofpironium
"

Has the safety and effectiveness of SOFDRA been established in children under 9 years of age?","No

",No
"

What are the contraindications for REVUFORJ?",,None
"

What is the minimum age for which REVUFORJ is indicated?","12 years

",1 year and older
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more without strong CYP3A4 inhibitors?","100 mg

",270 mg orally twice daily
"

What is the recommended dosage of REVUFORJ for patients weighing 40 kg or more when taking strong CYP3A4 inhibitors?","100 mg

",160 mg orally twice daily
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg without strong CYP3A4 inhibitors?","100 mg

",160 mg/m2 orally twice daily
"

What is the recommended dosage of REVUFORJ for patients weighing less than 40 kg when taking strong CYP3A4 inhibitors?","200 mg

",95 mg/m2 orally twice daily
"

What white blood cell (WBC) count must be achieved before starting REVUFORJ?","1000/mm3

",Less than 25 Gi/L
"

For what minimum duration should REVUFORJ be administered in patients without disease progression or unacceptable toxicity?","12 months

",6 months
"

What is the indicated age group for YORVIPATH?","12 years and older

",Adults only
"

What is the starting dose of YORVIPATH?","100 mg/m2

",18 mcg once daily
"

What is the maximum recommended daily dose of YORVIPATH?","100 mg

",30 mcg once daily
"

What is the absolute contraindication for YORVIPATH?",,Severe hypersensitivity to palopegteriparatide or any components of YORVIPATH
"

How frequently should YORVIPATH be administered?",,Once daily with only one injection
"

What is the minimum dose increment when adjusting YORVIPATH?","100 mg

",3 mcg
"

How often can the YORVIPATH dose be increased?",,No more often than every 7 days
"

What is the recommended dosage range for YORVIPATH?","100 mg/m2

",6 to 30 mcg once daily
"

What serum calcium level must be achieved before starting YORVIPATH?",,≥7.8 mg/dL
"

What is the minimum age requirement for HYMPAVZI treatment?","12 years

",12 years of age
"

What is the loading dose of HYMPAVZI?","100 mg

",300 mg (two 150 mg subcutaneous injections)
"

What is the maintenance dose schedule for HYMPAVZI?","100 mg every 2 weeks

",150 mg every week by subcutaneous injection
"

Are there any absolute contraindications for HYMPAVZI?",,None
"

For patients weighing ≥50 kg with inadequate bleeding control, what adjusted maintenance dose of HYMPAVZI can be considered?","100 mg

",300 mg subcutaneous injection weekly
"

What is the maximum approved weekly dose of HYMPAVZI?","1000 mg

",300 mg weekly
"

In what patient populations has HYMPAVZI been approved for use?",,Patients with hemophilia A without factor VIII inhibitors or hemophilia B without factor IX inhibitors
"

Are there any absolute contraindications for OJEMDA?",,"No, there are no absolute contraindications"
"

What is the minimum age for which OJEMDA is indicated?","18 years

",6 months of age
"

What is the recommended weekly dosage of OJEMDA based on body surface area?","100 mg/m2

",380 mg/m² once weekly
"

What is the maximum weekly dose of OJEMDA regardless of body surface area?","100 mg

",600 mg
"

For patients with a BSA of 1.40 m² or greater, what is the recommended weekly tablet dose of OJEMDA?","100 mg

",600 mg once weekly
"

What is the recommended OJEMDA tablet dose for patients with BSA between 0.90-1.12 m²?","100 mg

",400 mg once weekly
"

For what BSA range should OJEMDA oral suspension be used instead of tablets?","0.5 m2 to 1.5 m2

",0.30-0.89 m²
"

Has a recommended dosage of OJEMDA been established for patients with BSA less than 0.3 m²?",,No
"

What is the standard daily dosage of LIVDELZI for adult PBC patients?","100 mg once daily

",10 mg once daily
"

Can LIVDELZI be taken with or without food?",,"Yes, it can be taken with or without food"
"

What is the minimum time gap required between taking LIVDELZI and bile acid sequestrants?","2 hours

",At least 4 hours before or 4 hours after
"

What age group is LIVDELZI approved for?","12 years and older

",Adults only
"

Does LIVDELZI require dose adjustment in patients with mild hepatic impairment?","No

",No dose adjustment is recommended
"

Does LIVDELZI require dose adjustment in patients with renal impairment?","No

","No, the recommended dosage is the same"
"

Are there any absolute contraindications for LIVDELZI?",,None
"

What is the standard daily dosage of ITOVEBI for adult patients?","100 mg

",9 mg orally once daily
"

What is the recommended starting dose of ITOVEBI for patients with moderate renal impairment?","100 mg

",6 mg orally once daily
"

What is the minimum age group for which ITOVEBI is indicated?","12 years

",Adults only
"

Are there any absolute contraindications for ITOVEBI?",,None
"

What is the first dose reduction level of ITOVEBI for managing adverse reactions?","100 mg

",6 mg daily
"

What is the second dose reduction level of ITOVEBI for managing adverse reactions?","100 mg/m2

",3 mg daily
"

How should the dose of ITOVEBI be modified if a patient misses a dose within 9 hours of their usual time?",,Take the missed dose as soon as possible within 9 hours
"

What should be done with ITOVEBI dosing if a patient vomits after taking their dose?",,Do not take an additional dose that day and resume usual dosing schedule the next day
"

What is the standard recommended dosage of ORLYNVAH for treating uncomplicated UTIs?","100 mg

",One tablet (500 mg sulopenem etzadroxil and 500 mg probenecid) orally twice daily for 5 days
"

Should ORLYNVAH be taken with or without food?",,With food
"

What is the recommended use of ORLYNVAH for patients with severe renal impairment (CrCL < 15 mL/min)?","100 mg once daily

",Not recommended
"

What are the absolute contraindications for ORLYNVAH?",,"History of hypersensitivity to components, known blood dyscrasias, known uric acid kidney stones, and concomitant use with ketorolac tromethamine"
"

What is the indicated age group for ORLYNVAH treatment?","12 years and older

",Adult women only
"

Is dosage adjustment of ORLYNVAH required for patients with CrCL ≥ 15 mL/min?","No

",No dosage adjustment required
"

What should be done if a dose of ORLYNVAH is missed?",,"Take the dose as soon as possible, but do not double the dose"
"

For what duration should ORLYNVAH be prescribed in uncomplicated UTI?","7 days

",5 days
"

What is the primary contraindication for XOLREMDI?",,Use with drugs that are highly dependent on CYP2D6 for clearance
"

What is the recommended daily dose of XOLREMDI for patients weighing more than 50 kg?","100 mg

",400 mg orally once daily
"

What is the recommended daily dose of XOLREMDI for patients weighing 50 kg or less?","100 mg

",300 mg orally once daily
"

What is the minimum age requirement for XOLREMDI treatment?","18 years

",12 years of age
"

What is the adjusted dosage of XOLREMDI when used with strong CYP3A4 inhibitors?","200 mg

",200 mg daily
"

How should XOLREMDI be taken with respect to meals?",,"On an empty stomach after overnight fast, at least 30 minutes before food"
"

What is the capsule strength available for XOLREMDI?","100 mg

",100 mg capsules
"

Is XOLREMDI recommended for patients with severe renal impairment?",,"No, it is not recommended"
"

What are the contraindications for AQNEURSA?",,None
"

What is the morning dose of AQNEURSA for patients weighing 35 kg or more?","100 mg

",2 grams
"

What is the total daily dose of AQNEURSA for patients weighing between 25 kg to less than 35 kg?","100 mg

",3 grams
"

What is the minimum patient weight required for AQNEURSA treatment?","35 kg

",15 kg
"

How many doses per day of AQNEURSA should patients weighing 15 to less than 25 kg receive?","100 mg

",2 doses
"

What is the size of each unit-dose packet of AQNEURSA?","100 mg

",1 gram
"

What is the indicated age range for AQNEURSA use?","12 years and older

",Adults and pediatric patients weighing ≥15 kg
"

For patients requiring a 2-gram dose of AQNEURSA, how many packets should be prepared?","2

",Two packets
"

What is the evening dose of AQNEURSA for patients weighing 35 kg or more?","100 mg

",1 gram
"

What is the primary contraindication for KISUNLA?",,Known serious hypersensitivity to donanemab-azbt or any of the excipients
"

What is the initial dosage of KISUNLA for the first three doses?","100 mg

",700 mg every four weeks
"

What is the maintenance dosage of KISUNLA after the first three doses?","100 mg every 2 weeks

",1400 mg every four weeks
"

How long should each KISUNLA infusion be administered?","30 minutes

",Approximately 30 minutes
"

What is the minimum age of patients studied with KISUNLA in clinical trials?","12 years

",59 years
"

What percentage of KISUNLA clinical trial patients were 65 years and older?","10%

",90%
"

Is KISUNLA approved for use in pediatric patients?","No

",No
"

What concentration range should KISUNLA be diluted to before administration?","0.0015 mg/mL to 0.0025 mg/mL

",4 mg/mL to 10 mg/mL
"

What is the minimum age requirement for DUVYZAT treatment?","12 years

",6 years of age and older
"

Are there any absolute contraindications for DUVYZAT?",,None
"

What is the recommended DUVYZAT dosage for patients weighing 10-20 kg?","100 mg

",22.2 mg twice daily (2.5 mL twice daily)
"

What is the recommended DUVYZAT dosage for patients weighing 20-40 kg?","100 mg

",31 mg twice daily (3.5 mL twice daily)
"

What is the recommended DUVYZAT dosage for patients weighing 40-60 kg?","100 mg

",44.3 mg twice daily (5 mL twice daily)
"

What is the recommended DUVYZAT dosage for patients weighing 60 kg or more?","100 mg

",53.2 mg twice daily (6 mL twice daily)
"

What is the minimum platelet count required before initiating DUVYZAT treatment?","100,000/µL

",150 x 10^9/L
"

How should DUVYZAT be administered with respect to food?",,Orally twice daily with food
"

What baseline tests are required before starting DUVYZAT treatment?",,Platelet counts and triglycerides
"

What is the recommended dosage of RYTELO for adult patients with MDS?","100 mg

",7.1 mg/kg administered as an intravenous infusion over 2 hours every 4 weeks
"

What is the first dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?","100 mg

",5.6 mg/kg
"

What is the second dose reduction level of RYTELO for patients experiencing Grade 3 or 4 adverse reactions?","100 mg

",4.4 mg/kg
"

What is the minimum age group for which RYTELO is indicated?","12 years

",Adults only
"

Are there any absolute contraindications for RYTELO?",,None
"

How long should the RYTELO infusion be administered?","30 minutes

",Over 2 hours
"

How frequently should RYTELO be administered in the treatment cycle?",,Every 4 weeks
"

After what duration should RYTELO be discontinued if a patient shows no decrease in red blood cell transfusion burden?","12 weeks

",After 24 weeks of treatment (administration of 6 doses)
"

What is the minimum age requirement for PIASKY treatment?","18 years

",13 years and older
"

What is the minimum body weight requirement for PIASKY treatment?","35 kg

",40 kg
"

What is the initial loading dose of PIASKY for patients weighing between 40 kg and 100 kg?","100 mg

","1,000 mg intravenously"
"

What is the initial loading dose of PIASKY for patients weighing over 100 kg?","100 mg

","1,500 mg intravenously"
"

What is the maintenance dose of PIASKY for patients weighing between 40 kg and 100 kg?","100 mg

",680 mg subcutaneously every 4 weeks
"

What are the absolute contraindications for initiating PIASKY treatment?",,Unresolved serious Neisseria meningitidis infection and serious hypersensitivity to crovalimab or excipients
"

What is the subcutaneous loading dose schedule for PIASKY after the initial IV dose?","100 mg

","340 mg on Days 2, 8, 15, and 22"
"

What is the maintenance dose of PIASKY for patients weighing 100 kg or more?","100 mg

","1,020 mg subcutaneously every 4 weeks"
"

What is the recommended daily dosage of IQIRVO for adult patients?","100 mg

",80 mg once daily
"

Are there any absolute contraindications for IQIRVO?",,None
"

What is the minimum age for which IQIRVO is approved?","12 years

",18 years and older (adults)
"

Can IQIRVO be taken with or without food?",,"Yes, it can be taken with or without food"
"

When taking bile acid sequestrants, how should IQIRVO administration be timed?",,At least 4 hours before or 4 hours after the bile acid sequestrant
"

Is dosage adjustment of IQIRVO required for elderly patients over 65 years?","No

",No dosage adjustment is necessary
"

Is dosage adjustment of IQIRVO needed for patients with mild hepatic impairment?","No

",No dosage adjustment is recommended
"

Is IQIRVO recommended for use in patients with decompensated cirrhosis?","No

",No
"

What is the indicated age group for ANKTIVA treatment?","12 years of age and older

",Adult patients
"

Are there any contraindications for ANKTIVA?",,None
"

What is the induction dosage of ANKTIVA?","1000 mg

",400 mcg administered intravesically with BCG once a week for 6 weeks
"

What is the maintenance dosage schedule for ANKTIVA?","1000 mg subcutaneously every 12 hours

","400 mcg administered intravesically with BCG once a week for 3 weeks at months 4, 7, 10, 13 and 19"
"

How long should ANKTIVA be retained in the bladder during treatment?","2 hours

",2 hours
"

What is the maximum treatment duration for ANKTIVA?","12 weeks

",37 months
"

What is the dosage of ANKTIVA for additional maintenance treatment after month 25?","100 mg

","400 mcg administered once a week for 3 weeks at months 25, 31, and 37"
"

What is the starting dose of WINREVAIR for adult PAH patients?","100 mg once daily

",0.3 mg/kg by subcutaneous injection every 3 weeks
"

What is the target dose of WINREVAIR for PAH treatment?","100 mg once daily

",0.7 mg/kg every 3 weeks by subcutaneous injection
"

What is the approved age range for WINREVAIR treatment?","12 years and older

",Adults (18 years and older)
"

Are there any absolute contraindications for WINREVAIR?",,None
"

How frequently should hemoglobin and platelet counts be monitored when starting WINREVAIR?",,"Before each dose for the first 5 doses, or longer if values are unstable, and periodically thereafter"
"

What should be done if a dose of WINREVAIR is missed?",,"Administer within 3 days of scheduled date; if beyond 3 days, adjust schedule to maintain 3-week dosing intervals"
"

What platelet count is required to initiate WINREVAIR treatment?","100,000/µL

","Must be ≥50,000/mm3 (≥50 x 109/L)"
"

What is the recommended daily dosage of TRYVIO for adult patients?","100 mg once daily

",12.5 mg once daily
"

Can TRYVIO be taken with or without food?",,"Yes, it can be taken with or without food"
"

What is the indicated age range for TRYVIO treatment?","12 years and older

",Adults only
"

What are the absolute contraindications for TRYVIO?",,Pregnancy and hypersensitivity to aprocitentan or its excipients
"

Should patients continue taking TRYVIO if they miss a dose?",,Skip the missed dose and take the next dose at the regular time. Do not take two doses on the same day.
"

What form and strength is TRYVIO available in?",,"12.5 mg yellow to orange round, film-coated tablets"
"

Is TRYVIO recommended for patients with moderate to severe hepatic impairment?","No

","No, it is not recommended"
"

Is TRYVIO recommended for patients with kidney failure or on dialysis?","No

","No, it is not recommended"
"

What is the standard daily dosage of LAZCLUZE for adult patients?",,240 mg once daily
"

Are there any absolute contraindications for LAZCLUZE?",,None
"

What is the minimum age for which LAZCLUZE is indicated?","12 years

",18 years (adults only)
"

What is the first dose reduction level of LAZCLUZE when adjusting for adverse reactions?","100 mg

",160 mg once daily
"

What is the second dose reduction level of LAZCLUZE when adjusting for adverse reactions?","100 mg

",80 mg once daily
"

How should LAZCLUZE tablets be taken with respect to food?",,With or without food
"

What should be done if a patient misses a dose of LAZCLUZE within 12 hours of the scheduled time?","Take the missed dose as soon as possible

",Take the missed dose
"

For how long should patients continue taking LAZCLUZE?",,Until disease progression or unacceptable toxicity
"

What is the recommended starting dose of VAFSEO for adults with CKD on dialysis?","100 mg

",300 mg orally once daily
"

What is the maximum daily dose of VAFSEO that can be prescribed?",,600 mg
"

How frequently can the VAFSEO dose be increased?",,No more frequently than once every 4 weeks
"

What are the absolute contraindications for VAFSEO?",,Known hypersensitivity to VAFSEO or its components and uncontrolled hypertension
"

What is the indicated age range for VAFSEO treatment?",,Adults only
"

How long must patients be on dialysis before starting VAFSEO?",,At least three months
"

What are the available tablet strengths for VAFSEO?","100 mg

","150 mg, 300 mg, and 450 mg"
"

In what increments should the VAFSEO dose be adjusted to achieve target hemoglobin levels?","100 mg

",150 mg increments
"

What is the minimum age requirement for EBGLYSS treatment?","18 years

",12 years of age
"

What is the minimum weight requirement for EBGLYSS treatment?","10 kg

",40 kg
"

What is the initial loading dose of EBGLYSS at Week 0 and Week 2?","100 mg

",500 mg (two 250 mg injections)
"

What is the maintenance dose of EBGLYSS after Week 16?","100 mg once daily

",250 mg every 4 weeks
"

What is the dosing frequency of EBGLYSS between Week 2 and Week 16?",,250 mg every 2 weeks
"

What is the primary contraindication for EBGLYSS?",,Prior serious hypersensitivity to lebrikizumab-lbkz or any excipients
"

Can EBGLYSS be used with topical corticosteroids?","Yes

",Yes
"

What should be completed before starting EBGLYSS treatment?",,All age-appropriate vaccinations
"

What is the indicated age range for VORANIGO treatment?","12 years and older

",Adult and pediatric patients 12 years and older
"

Are there any contraindications for VORANIGO?",,None
"

What is the recommended daily dose of VORANIGO for adult patients?","100 mg

",40 mg orally once daily
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing 40 kg or more?","100 mg

",40 mg orally once daily
"

What is the recommended daily dose of VORANIGO for pediatric patients 12 years and older weighing less than 40 kg?","100 mg

",20 mg orally once daily
"

Can VORANIGO be taken with or without food?",,"Yes, it can be taken with or without food"
"

What is the first dosage reduction of VORANIGO for adult patients experiencing adverse reactions?","100 mg

",20 mg once daily
"

What is the second dosage reduction of VORANIGO for adult patients experiencing adverse reactions?","100 mg

",10 mg once daily
"

What is the primary contraindication for ZEVTERA?",,Known history of severe hypersensitivity to ZEVTERA or other members of the cephalosporin class
"

What is the recommended adult dosage of ZEVTERA for treating ABSSSI?","1000 mg

",667 mg every 8 hours
"

What is the recommended ZEVTERA dosage for pediatric patients aged 12 to less than 18 years with CABP?","100 mg/kg/day

",13.3 mg/kg (up to 667 mg/dose) every 8 hours
"

What is the recommended duration of ZEVTERA treatment for adult patients with ABSSSI?","7 days

",5 to 14 days
"

What is the minimum age for which ZEVTERA is indicated in treating CABP?","18 years

",3 months
"

What is the recommended ZEVTERA dosage for adult patients with SAB during the first 8 days?","1000 mg every 12 hours

",667 mg every 6 hours
"

What is the recommended infusion duration for ZEVTERA in adult patients?","30 minutes

",2 hours
"

What is the recommended ZEVTERA dosage for pediatric patients aged 3 months to less than 12 years with CABP?","100 mg/kg/day

",20 mg/kg (up to 667 mg/dose) every 8 hours
"

What is the recommended duration of ZEVTERA treatment for pediatric patients with CABP?","14 days

",7 to 14 days
"

What is the minimum age requirement for EXBLIFEP treatment?","18 years

",18 years of age and older
"

What is the primary contraindication for EXBLIFEP?",,History of serious hypersensitivity reactions to the components of EXBLIFEP or other beta-lactam antibacterial drugs
"

What is the standard dosage of EXBLIFEP for patients with normal renal function (eGFR 60-129 mL/min)?","100 mg once daily

",2.5 grams (2 grams cefepime and 0.5 grams enmetazobactam) every 8 hours by intravenous infusion over 2 hours
"

What is the recommended EXBLIFEP dosage for patients with severe renal impairment (eGFR 15-29 mL/min)?","100 mg every 2 weeks

",1.25 grams every 12 hours with 2-hour infusion
"

What is the recommended duration of EXBLIFEP treatment for complicated UTI?","10 days

","7 days, or up to 14 days for patients with concurrent bacteremia"
"

What is the recommended EXBLIFEP dosage for patients with eGFR greater than or equal to 130 mL/min?","100 mg

",2.5 grams every 8 hours with 4-hour infusion
"

For patients on hemodialysis, when should EXBLIFEP be administered?",,After completion of hemodialysis session on hemodialysis days
"

What is the recommended EXBLIFEP dosage for patients with eGFR less than 15 mL/min?","100 mg every 2 weeks

","Loading dose of 1.25 grams on first day, followed by 0.625 grams every 24 hours"
"

What are the contraindications for VYLOY?",,None
"

What is the initial dose of VYLOY for adult patients?","100 mg

",800 mg/m2
"

What are the subsequent dosing options for VYLOY after the initial dose?","100 mg every 2 weeks

",600 mg/m2 every 3 weeks or 400 mg/m2 every 2 weeks
"

What is the approved age group for VYLOY treatment?","12 years and older

",Adults only
"

When should VYLOY be administered if given on the same day as chemotherapy?",,VYLOY must be administered first
"

What was the age range of patients studied in clinical trials for VYLOY?","12 to 17 years

",20 to 86 years
"

How should VYLOY be administered to patients?",,By intravenous infusion only
"

What is the recommended daily dosage of REZDIFFRA for patients weighing less than 100 kg?","100 mg

",80 mg orally once daily
"

What is the recommended daily dosage of REZDIFFRA for patients weighing 100 kg or more?","100 mg

",100 mg orally once daily
"

Are there any absolute contraindications for REZDIFFRA?",,None
"

What is the indicated age group for REZDIFFRA treatment?","12 years and older

",Adults only
"

Can REZDIFFRA be taken with or without food?",,Can be taken with or without food
"

What is the adjusted dosage of REZDIFFRA for patients under 100 kg when taking moderate CYP2C8 inhibitors?","100 mg

",60 mg once daily
"

What is the adjusted dosage of REZDIFFRA for patients 100 kg or more when taking moderate CYP2C8 inhibitors?","100 mg

",80 mg once daily
"

Has the safety and effectiveness of REZDIFFRA been established in pediatric patients?","No

",No
"

What are the contraindications for FLYRCADO?",,None
"

What is the recommended FLYRCADO dosage for rest imaging in a 1-day protocol?","100 mg

",93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

What is the recommended FLYRCADO dosage for pharmacologic stress imaging in a 1-day protocol?","100 mg

",222 MBq to 241 MBq (6 mCi to 6.5 mCi)
"

What is the recommended FLYRCADO dosage for exercise stress imaging in a 1-day protocol?","100 mg

",333 MBq to 352 MBq (9 mCi to 9.5 mCi)
"

What is the recommended FLYRCADO dosage for both rest and stress imaging in a 2-day protocol?","100 mg

",93 MBq to 111 MBq (2.5 mCi to 3 mCi)
"

What is the indicated age range for FLYRCADO use?","12 years and older

",Adult patients only
"

What is the maximum total volume of FLYRCADO that can be administered in one day?","1000 mg

",6.1 mL
"

What is the contraindication for initiating VOYDEYA treatment?",,Unresolved serious infection caused by encapsulated bacteria
"

What is the starting oral dose of VOYDEYA?","100 mg

",150 mg three times a day
"

When can the VOYDEYA dose be increased to 200 mg three times a day?",,"If hemoglobin has not increased by >2 g/dL after 4 weeks, if patient required transfusion during previous 4 weeks, or to achieve appropriate Hgb response based on clinical judgment"
"

What is the indicated age group for VOYDEYA treatment?","12 years and older

",Adults only
"

Can VOYDEYA be taken with or without food?",,Can be taken with or without food
"

What should be done if a dose of VOYDEYA is missed?",,"Take it as soon as remembered unless within 3 hours of next dose; if within 3 hours of next dose, skip missed dose and take at next regularly scheduled time"
"

How should VOYDEYA be used in patients with severe hepatic impairment?",,Avoid use in patients with severe hepatic impairment (Child-Pugh C)
"

What are the contraindications for ZELSUVMI?",,None
"

What is the indicated age range for ZELSUVMI?","12 years and older

",1 year of age and older
"

How frequently should ZELSUVMI be applied?","Once every 2 weeks

",Once daily
"

What is the recommended amount of ZELSUVMI to dispense from each tube for application?","100 mg

",0.5 mL from each tube
"

What is the maximum treatment duration for ZELSUVMI?","12 months

",Up to 12 weeks
"

How long should ZELSUVMI be allowed to dry after application?","10 minutes

",10 minutes
"

How long after applying ZELSUVMI should patients wait before swimming, bathing, or washing?","24 hours

",1 hour
"

Has ZELSUVMI been proven safe and effective in children under 1 year of age?","No

",No
"

What is the indicated age group for NEMLUVIO?","12 years and older

",Adults (18 years and older)
"

What is the initial dose of NEMLUVIO for adult patients weighing less than 90kg?","100 mg

","60 mg (two 30 mg injections), followed by 30 mg every 4 weeks"
"

What is the maintenance dose of NEMLUVIO for adult patients weighing 90kg or more?","1000 mg

",60 mg every 4 weeks
"

What is the primary contraindication for NEMLUVIO?",,Known hypersensitivity to nemolizumab-ilto or to any of the excipients in NEMLUVIO
"

How should NEMLUVIO be administered?",,By subcutaneous injection
"

What should be completed before starting treatment with NEMLUVIO?",,All age-appropriate vaccinations as recommended by current immunization guidelines
"

How long after reconstitution must NEMLUVIO be used?","24 hours

",Within 4 hours
"

What should be done if a dose of NEMLUVIO is missed?",,Administer the dose as soon as possible and resume dosing at the regular scheduled time
"

What are the contraindications for TEVIMBRA?",,None
"

What is the recommended dose of TEVIMBRA for adult patients?","100 mg

",200 mg every 3 weeks
"

How long should the first infusion of TEVIMBRA be administered?","30 minutes

",60 minutes
"

How long can subsequent infusions of TEVIMBRA be administered if the first infusion is tolerated?","12 weeks

",30 minutes
"

What is the minimum age for patients to receive TEVIMBRA?","12 years

",18 years (adult patients)
"

Are dose reductions recommended for TEVIMBRA?",,No
"

Is there any difference in TEVIMBRA's effectiveness between elderly and younger adult patients?",,No overall differences in safety or effectiveness were observed
"

What is the standard recommended dosage of OHTUVAYRE for adult COPD patients?","100 mg twice daily

",3 mg (one ampule) twice daily administered by oral inhalation
"

What is the primary contraindication for OHTUVAYRE?",,Hypersensitivity to ensifentrine or any component of the product
"

What is the indicated age range for OHTUVAYRE treatment?","12 years and older

",Adult patients only
"

How should the dosage of OHTUVAYRE be adjusted for patients with moderate hepatic impairment?","200 mg once daily

",Use with caution due to increased exposure
"

What is the recommended dosing frequency of OHTUVAYRE throughout the day?",,Twice daily - once in the morning and once in the evening
"

Does OHTUVAYRE require dosage adjustment in patients with mild to moderate renal impairment?","No

",No dosage adjustment required
"

What is the concentration of OHTUVAYRE in each unit-dose ampule?","100 mg/mL

",3 mg/2.5 mL (1.2 mg/mL)
"

Are there any contraindications for IMDELLTRA?",,"No, there are no contraindications"
"

What is the initial step-up dose of IMDELLTRA on Cycle 1 Day 1?","100 mg

",1 mg
"

What is the full treatment dose of IMDELLTRA after the step-up period?","100 mg every 2 weeks

",10 mg every 2 weeks
"

What is the recommended infusion duration for each dose of IMDELLTRA?","30 minutes

",1 hour
"

What is the indicated age range for IMDELLTRA treatment?","12 years and older

",Adults only
"

What is the recommended dose of IMDELLTRA on Cycle 1 Day 8?","100 mg

",10 mg
"

How long should patients be monitored after receiving IMDELLTRA on Cycle 1 Day 1 and Day 8?","12 hours

",22 to 24 hours
"

Has IMDELLTRA been evaluated for safety and effectiveness in pediatric patients?","No

",No
"

What is the recommended dosage of NIKTIMVO for patients weighing at least 40 kg?","200 mg

",0.3 mg/kg (maximum 35 mg) every 2 weeks
"

How long should each NIKTIMVO infusion be administered?","30 minutes

",30 minutes
"

What is the minimum weight requirement for patients to receive NIKTIMVO?","35 kg

",40 kg
"

Are there any absolute contraindications for NIKTIMVO?",,None
"

What is the maximum single dose of NIKTIMVO that can be administered?","200 mg

",35 mg
"

How frequently should NIKTIMVO be administered?",,Every 2 weeks
"

What is the reduced dosage of NIKTIMVO for patients who experience Grade 3 AST or ALT elevation with total bilirubin ≤ Grade 1?","200 mg

",0.2 mg/kg (maximum 23 mg) every 2 weeks
"

What is the primary contraindication for LUMISIGHT?",,History of hypersensitivity reaction to pegulicianine
"

What is the recommended dose of LUMISIGHT for adult patients?","0.5 mg/kg

",1 mg/kg actual body weight
"

How long should the LUMISIGHT injection be administered over?","10 minutes

",3 minutes
"

How long before imaging should LUMISIGHT be administered?","15 minutes

",2 to 6 hours
"

What is the minimum age for which LUMISIGHT has been established as safe and effective?","12 years

",Adult patients only (18 years and older)
"

What was the age range of patients studied in clinical trials of LUMISIGHT?","18 to 80 years

",36 to 95 years
"

Is LUMISIGHT approved for use in geriatric patients?",,"Yes, with no dosage adjustments required"
"

What is the recommended daily dosage of LEQSELVI for adult patients with severe alopecia areata?","100 mg

",8 mg twice daily
"

What patient age group is LEQSELVI indicated for?","Adults 18 years of age and older

",Adults only
"

Is LEQSELVI contraindicated in patients who are CYP2C9 poor metabolizers?","Yes

",Yes
"

Can LEQSELVI be taken with moderate or strong CYP2C9 inhibitors?",,"No, it is contraindicated"
"

Should LEQSELVI dosing be adjusted if a dose is missed?","No

",Skip the missed dose and resume at next scheduled dose
"

What is the recommended action for LEQSELVI dosing if a patient's absolute lymphocyte count falls below 500 cells/mm3?",,Interrupt treatment until ALC is ≥500 cells/mm3
"

Is LEQSELVI recommended for use in patients with severe renal impairment?",,No
